Customer_ID,Age,Annual_Income,Spending_Score
121,20.4,27557,24.9
122,54.9,84154,76.3
123,39.7,59494,61.3
124,49.4,100370,80.6
125,49.8,101926,72.5
126,25.5,19271,18.9
127,49.3,91802,80.2
128,28.2,32565,39.9
129,52.4,100492,90.9
130,37.3,66313,51.9
131,54.7,97205,77.0
132,27.3,23908,24.4
133,21.7,24198,34.6
134,48.8,68923,43.2
135,52.6,93223,75.4
136,55.5,83358,74.1
137,41.4,61806,47.8
138,42.2,104702,74.0
139,50.9,101833,85.7
140,22.4,29792,33.3
141,46.9,100255,82.3
142,53.5,108901,88.7
143,34.9,63284,44.3
144,45.7,55656,64.3
145,27.4,25499,39.2
146,53.4,103507,96.1
147,51.4,101179,69.2
148,54.6,75081,84.7
149,26.9,30613,28.5
150,18.2,39867,23.4
151,36.6,63057,65.7
152,18.0,28105,19.1
153,57.0,105772,74.2
154,51.7,95748,87.5
155,24.8,24702,10.5
156,46.7,97812,80.1
157,44.1,97874,82.2
158,23.2,30908,31.1
159,24.1,26124,35.4
160,52.2,101964,73.0
161,53.2,105100,79.0
162,47.2,100708,82.6
163,51.0,61139,67.7
164,40.3,53617,38.8
165,44.1,59902,63.6
166,23.8,30119,33.3
167,31.7,57318,72.7
168,28.0,31578,19.3
169,25.3,29824,37.3
170,34.9,55734,63.9
171,45.3,51975,37.8
172,41.3,60438,69.1
173,55.6,99278,91.5
174,48.2,54537,55.3
175,49.7,97084,76.4
176,25.8,30283,25.1
177,43.7,64836,78.1
178,41.9,56702,53.1
179,21.0,30960,23.7
180,18.0,37986,25.0
181,28.4,28735,30.5
182,58.3,92412,88.6
183,40.6,67526,58.6
184,31.4,30637,19.6
185,24.0,34334,29.7
186,25.7,32355,33.0
187,57.7,86526,76.0
188,41.9,105897,90.0
189,46.9,64425,46.6
190,49.2,100571,81.9
191,26.0,28209,37.8
192,44.0,53149,55.0
193,30.0,34509,31.2
194,27.7,25644,20.6
195,49.0,90877,84.1
196,39.2,62463,68.0
197,60.2,91781,84.6
198,51.5,91454,77.7
199,35.6,60929,60.0
200,26.5,28866,31.0
201,25.2,26145,22.6
202,30.5,71912,55.5
203,25.2,32881,22.2
204,38.2,69682,55.7
205,35.3,49264,45.5
206,44.5,91294,84.7
207,50.4,66028,53.8
208,56.4,81999,76.6
209,20.7,35948,20.5
210,23.8,31117,16.6
211,27.7,30376,26.0
212,24.3,25625,37.9
213,45.8,80048,78.5
214,25.1,26487,45.8
215,37.4,68856,41.9
216,37.3,63916,63.2
217,33.9,57652,37.5
218,50.7,95261,85.9
219,21.5,24034,26.0
220,26.3,19117,37.6
221,20.6,28045,27.2
222,48.2,104678,84.1
223,38.9,76894,61.8
224,37.3,64560,62.8
225,25.9,28509,18.4
226,47.0,73836,65.6
227,40.7,69460,55.7
228,49.2,90161,81.5
229,56.7,97731,73.2
230,59.6,101608,74.9
231,45.6,86060,83.9
232,24.4,40864,34.9
233,55.1,94820,87.1
234,40.0,63249,62.3
235,19.8,37814,31.6
236,39.5,55942,53.7
237,43.1,59831,45.5
238,38.2,58447,67.2
239,48.3,89001,74.2
240,48.5,109455,76.1
241,28.2,32778,42.7
242,24.5,40422,19.3
243,54.5,109062,82.9
244,42.7,51498,54.2
245,30.6,36955,49.6
246,46.9,86069,82.8
247,54.4,98473,70.6
248,55.7,104608,83.1
249,46.5,64552,43.7
250,49.8,102635,77.8
251,58.6,95734,93.5
252,45.6,106759,83.7
253,58.7,86859,85.0
254,29.4,19962,41.1
255,22.4,35337,29.9
256,42.3,92272,85.1
257,41.8,70971,51.3
258,22.6,33557,27.9
259,65.5,87101,73.5
260,21.5,28553,25.0
261,20.2,22924,30.8
262,39.0,57912,51.6
263,50.0,102042,95.6
264,46.2,89756,70.6
265,36.2,75146,58.7
266,38.9,49097,73.8
267,50.8,93459,87.6
268,46.8,100559,86.3
269,42.3,67381,59.2
270,23.7,32977,28.7
271,29.3,19604,33.6
272,33.9,71701,56.7
273,19.3,29893,27.9
274,43.3,58572,74.6
275,27.6,26915,39.9
276,27.3,23706,30.9
277,53.9,101284,78.7
278,58.8,86836,86.7
279,26.7,35944,28.2
280,27.2,29793,37.2
281,47.0,104510,79.8
282,54.9,99101,77.3
283,44.3,85265,85.3
284,40.8,58698,62.8
285,21.7,30870,18.6
286,57.2,83051,75.0
287,27.3,34539,32.4
288,39.4,67299,57.0
289,37.4,63542,51.2
290,54.1,94858,80.4
291,38.1,46018,57.5
292,23.4,29956,30.2
293,57.4,102651,77.8
294,18.0,32257,20.1
295,25.2,34079,18.0
296,42.4,54096,54.5
297,39.5,59905,55.7
298,38.0,50412,65.5
299,41.9,56681,50.7
300,42.0,50587,59.1
301,51.4,102881,79.6
302,22.5,32834,37.1
303,29.1,31430,36.7
304,24.1,38916,31.2
305,25.1,36210,42.0
306,35.0,57409,62.6
307,26.2,29571,33.1
308,49.8,98206,85.0
309,56.1,95438,77.8
310,24.2,25452,38.7
311,24.7,33193,32.9
312,45.5,99606,80.7
313,43.3,87302,78.5
314,42.3,57644,49.7
315,52.0,110183,92.1
316,50.0,62462,48.4
317,41.9,59358,53.8
318,33.2,63520,51.3
319,40.7,62685,64.2
320,32.7,67219,47.0
321,27.5,31079,28.1
322,50.1,110065,84.4
323,52.7,66116,55.5
324,54.8,98859,83.5
325,57.5,96776,86.8
326,48.9,65377,75.4
327,21.8,38545,22.6
328,37.3,81734,58.3
329,22.9,34937,25.8
330,54.7,91297,77.8
331,22.1,33821,28.2
332,29.3,30065,39.5
333,22.9,25622,35.4
334,57.1,99759,88.0
335,53.6,88778,84.4
336,24.6,29010,32.3
337,23.2,32384,36.1
338,31.0,62432,59.6
339,24.1,21352,33.7
340,36.5,78155,64.3
341,22.8,36209,31.8
342,39.3,62886,51.3
343,54.5,74987,71.1
344,26.4,40335,19.5
345,21.9,20275,38.0
346,20.9,22999,26.8
347,23.3,31148,37.6
348,33.0,59420,46.3
349,22.6,27087,38.3
350,51.4,70573,72.0
351,54.3,87805,78.0
352,21.0,31305,25.3
353,52.8,96407,72.8
354,24.0,29642,36.6
355,20.0,24881,27.5
356,53.6,97988,80.3
357,30.2,36442,27.5
358,51.2,90619,74.9
359,39.7,57388,56.4
360,20.5,32323,31.8
361,39.2,70568,57.1
362,56.0,96277,81.3
363,40.5,71484,42.1
364,40.9,64198,58.0
365,48.4,92532,91.9
366,36.1,67935,63.6
367,36.6,51059,47.7
368,51.9,86006,81.7
369,40.2,49159,58.5
370,58.6,94516,79.9
371,37.5,68724,62.1
372,47.3,102317,84.7
373,41.2,86413,77.1
374,43.6,59112,59.7
375,40.1,65245,60.4
376,47.5,54979,53.0
377,23.1,27201,32.0
378,23.8,37525,30.3
379,30.1,27458,20.7
380,53.8,86418,87.9
381,43.3,71599,46.0
382,50.7,85377,85.5
383,19.8,23791,29.1
384,44.4,49217,51.4
385,57.1,77571,82.3
386,40.5,50301,50.3
387,51.3,90678,83.1
388,40.6,70110,54.4
389,25.4,30918,45.9
390,28.1,31766,10.5
391,46.9,41731,63.7
392,49.0,101427,96.3
393,24.1,32660,36.1
394,21.5,33482,37.4
395,24.7,32581,20.5
396,38.5,62650,44.5
397,42.2,59249,56.2
398,51.6,96565,88.6
399,57.5,93477,97.4
400,54.9,96162,85.7
401,38.9,54848,46.5
402,38.9,58600,49.1
403,39.8,90599,71.7
404,52.9,77469,80.2
405,35.3,54067,59.5
406,53.2,102053,70.1
407,29.6,32377,26.7
408,37.0,70796,45.5
409,51.9,104640,85.7
410,36.3,72631,60.9
411,23.2,27131,23.0
412,42.4,55200,44.2
413,44.2,61929,60.3
414,39.6,50724,42.6
415,40.9,67511,50.1
416,29.3,26596,43.0
417,39.4,67329,70.2
418,36.8,57933,68.7
419,48.9,88447,87.2
420,43.4,60118,51.7
421,58.0,93642,75.8
422,25.8,33712,37.7
423,28.7,31217,38.1
424,25.7,34101,30.8
425,23.5,21464,39.2
426,58.2,92867,77.4
427,42.6,59344,58.1
428,29.9,27496,29.9
429,32.4,48671,64.6
430,41.0,98162,83.0
431,48.0,110209,73.6
432,51.3,105438,73.1
433,25.7,39535,39.5
434,38.9,70822,60.5
435,36.5,54631,52.8
436,38.4,54679,49.0
437,56.7,91608,90.7
438,25.5,32763,29.0
439,52.2,99882,82.8
440,48.6,106289,78.1
441,37.3,58947,61.9
442,55.5,98675,70.2
443,39.8,66969,64.0
444,27.4,31478,25.2
445,38.7,55861,68.7
446,27.8,33540,42.7
447,38.6,46335,41.5
448,50.9,94958,88.0
449,51.4,99014,77.2
450,27.4,41042,29.9
451,20.9,39990,23.7
452,23.1,22102,23.6
453,44.4,53791,45.0
454,42.2,62969,64.3
455,23.0,23947,23.7
456,51.9,88671,95.0
457,37.2,75328,42.6
458,37.8,51181,64.9
459,42.0,50924,53.3
460,22.7,21933,35.9
461,22.4,26264,29.3
462,23.0,30275,46.1
463,26.0,31210,38.3
464,26.5,22348,31.8
465,54.9,89984,88.0
466,50.5,85424,76.3
467,25.0,20663,39.8
468,42.0,49412,50.8
469,23.7,26176,26.5
470,55.4,97764,77.0
471,51.6,93817,94.1
472,37.6,48543,56.6
473,46.7,87592,81.4
474,28.8,34581,17.0
475,39.1,68440,44.2
476,24.7,35452,23.1
477,27.8,38529,31.0
478,47.4,70463,61.6
479,23.3,29838,28.4
480,51.8,93522,78.4
481,26.2,34141,35.8
482,37.7,61244,68.5
483,47.6,56726,62.0
484,44.4,72538,53.0
485,29.0,35049,29.1
486,46.9,61217,42.7
487,37.5,67626,43.0
488,18.0,27516,35.2
489,46.9,99230,82.2
490,23.0,31939,40.5
491,39.3,56385,44.4
492,38.2,60310,54.9
493,26.8,33294,29.1
494,52.2,112232,78.4
495,44.5,51339,55.9
496,37.7,64405,61.9
497,42.9,61337,40.6
498,28.6,25454,33.9
499,42.7,53738,65.5
500,56.1,104109,83.7
